Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,431,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,432,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,433,WheelchairAgent(Clone),11,9,1.3,1.17,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,434,AdultMaleAgent(Clone),10,8,1.71,1.58,6.446457,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,435,WheelchairAgent(Clone),11,9,1.3,1.17,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,436,AdultMaleAgent(Clone),11,9,1.71,1.58,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,437,AdultFemaleAgent(Clone),9,11,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,438,WheelchairAgent(Clone),9,11,1.3,1.17,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,439,AdultMaleAgent(Clone),10,8,1.71,1.58,7.693916,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,440,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,441,AdultMaleAgent(Clone),8,10,1.71,1.58,7.662094,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,442,AdultMaleAgent(Clone),9,11,1.71,1.58,0.4050827,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,443,AdultFemaleAgent(Clone),10,8,1.58,1.450001,8.70443,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,444,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,445,WheelchairAgent(Clone),8,10,1.3,1.17,7.437065,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,446,WheelchairAgent(Clone),9,11,1.3,1.17,0,0,False,2,0,0
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,447,AdultMaleAgent(Clone),8,10,1.71,1.58,8.975159,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,448,AdultMaleAgent(Clone),10,8,1.71,1.58,6.468475,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,449,AdultFemaleAgent(Clone),8,10,1.58,1.450001,7.833588,2,False,2,1,0.5
2026-03-04_20.15.02,1,Random_sign_placement_scenario,1037,15,3,-10.69,8.67,90,15,1,450,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
