Variable,Coefficient (beta),Std Error,t-statistic,p-value,95% CI,Significant (p < 0.05)
Intercept,0.4154,0.0382,10.87,0.0000e+00,"[0.3405, 0.4904]",True
SignTiltAngle,0.0110,0.0027,4.09,4.2925e-05,"[0.0057, 0.0162]",True
SignTiltAngle_sq,-0.0308,0.0045,-6.83,9.1223e-12,"[-0.0397, -0.0220]",True
Tilt_x_Wheelchair,0.0060,0.0009,6.65,3.0130e-11,"[0.0042, 0.0077]",True
MeasuredAverageDensity,0.1687,0.0294,5.74,9.6369e-09,"[0.1111, 0.2263]",True
IsFemale,-0.0671,0.0120,-5.60,2.2547e-08,"[-0.0906, -0.0436]",True
IsWheelchair,-0.3198,0.0275,-11.64,0.0000e+00,"[-0.3737, -0.2660]",True
