Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,SignOrientation,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-06_22.00.03,280,sign-optimization-horizontal-vertical_scenario,585,120,3,-3,7,90,90,15,1,161764,AdultMaleAgent(Clone),6,12,1.71,1.58,5.050781,1,False,2,1,0.5
2026-03-06_22.00.03,280,sign-optimization-horizontal-vertical_scenario,585,120,3,-3,7,90,90,15,1,161765,AdultFemaleAgent(Clone),7,11,1.58,1.450001,0,0,False,2,0,0
2026-03-06_22.00.03,280,sign-optimization-horizontal-vertical_scenario,585,120,3,-3,7,90,90,15,1,161766,AdultFemaleAgent(Clone),11,10,1.58,1.450001,11.00781,1,True,3,1,0.3333333
2026-03-06_22.00.03,280,sign-optimization-horizontal-vertical_scenario,585,120,3,-3,7,90,90,15,1,161767,WheelchairAgent(Clone),5,10,1.3,1.17,7.386719,1,False,2,1,0.5
2026-03-06_22.00.03,280,sign-optimization-horizontal-vertical_scenario,585,120,3,-3,7,90,90,15,1,161768,AdultFemaleAgent(Clone),6,12,1.58,1.45,5.041016,1,False,2,1,0.5
2026-03-06_22.00.03,280,sign-optimization-horizontal-vertical_scenario,585,120,3,-3,7,90,90,15,1,161769,WheelchairAgent(Clone),5,10,1.3,1.17,10.07617,1,True,2,1,0.5
2026-03-06_22.00.03,280,sign-optimization-horizontal-vertical_scenario,585,120,3,-3,7,90,90,15,1,161770,AdultMaleAgent(Clone),5,10,1.71,1.58,10.125,1,True,2,1,0.5
2026-03-06_22.00.03,280,sign-optimization-horizontal-vertical_scenario,585,120,3,-3,7,90,90,15,1,161771,AdultMaleAgent(Clone),6,12,1.71,1.58,7.179688,1,True,2,1,0.5
2026-03-06_22.00.03,280,sign-optimization-horizontal-vertical_scenario,585,120,3,-3,7,90,90,15,1,161772,WheelchairAgent(Clone),6,12,1.3,1.17,4.863281,1,False,2,1,0.5
2026-03-06_22.00.03,280,sign-optimization-horizontal-vertical_scenario,585,120,3,-3,7,90,90,15,1,161773,WheelchairAgent(Clone),5,10,1.3,1.17,7.957031,1,False,2,1,0.5
