Sign,Total Agents,Agents in VCA,VCA Penetration (%),Overall Visibility (%),VCA Visibility (%),Target Audience Total,Target Audience in VCA,Target Overall Vis (%),Target VCA Vis (%)
Sign_Hotel,689,362,52.5399129172714,29.753265602322205,56.62983425414365,689,362,29.753265602322205,56.62983425414365
Sign_Main,689,378,54.862119013062404,7.6923076923076925,14.02116402116402,41,35,0.0,0.0
