Mounting Height (m),Total Agents,VCA Entrants,Adult Female VCA Vis (%),Adult Male VCA Vis (%),Wheelchair VCA Vis (%),Delta V (Male - Female),Delta V (Male - Wheelchair)
2.3,18178,6904,24.179236912156167,27.047038327526135,18.436703483432456,2.867801415369968,8.610334844093678
2.4,18178,9858,43.26952294135521,50.38687712782421,34.352517985611506,7.117354186468994,16.0343591422127
