CleanAgentType,SawSign,Count,Mean,Std,Median,IQR,Min,Max
Adult Female,False,236,6.87243563940678,4.17624645069898,5.7152675,4.965965249999999,0.1397641,18.45785
Adult Female,True,137,16.065842131386862,4.883409226693461,16.1696,7.809610000000001,4.092936,25.07213
Adult Male,False,197,6.348552861218273,3.7157513128728525,5.989502,3.9908580000000002,0.07893208,17.99405
Adult Male,True,187,14.907901411764707,4.6177214107794295,15.34115,7.365970000000003,2.305373,25.83599
