Agent Type,Total Agents,Total Saw Sign,Overall Visibility (%),Overall 95% CI,Agents in VCA,VCA Saw Sign,VCA Visibility (%),VCA 95% CI,Eye Height (m),Mean Time in VCA (s),Median Time in VCA (s)
Adult Female,548,137,25.0,"[21.6%, 28.8%]",373,137,36.72922252010724,"[32.0%, 41.7%]",1.4499999999999997,10.249102367024127,8.881907
Adult Male,536,187,34.88805970149254,"[31.0%, 39.0%]",384,187,48.69791666666667,"[43.7%, 53.7%]",1.5799999999999998,10.516777285572916,9.37654
