Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,SignOrientation,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14191,AdultMaleAgent(Clone),2,0,1.71,1.58,0,0,False,2,0,0
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14192,AdultFemaleAgent(Clone),11,12,1.58,1.450001,7.651855,2,True,2,1,0.5
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14193,WheelchairAgent(Clone),2,0,1.3,1.17,0,0,False,2,0,0
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14194,WheelchairAgent(Clone),1,0,1.3,1.17,0,0,False,3,0,0
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14195,WheelchairAgent(Clone),3,1,1.3,1.17,12.61841,1,True,2,1,0.5
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14196,WheelchairAgent(Clone),12,1,1.3,1.17,14.15198,1,True,3,2,0.6666667
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14197,AdultFemaleAgent(Clone),2,0,1.58,1.45,1.878174,1,False,2,0,0
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14198,AdultMaleAgent(Clone),3,1,1.71,1.58,11.45959,1,True,2,1,0.5
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14199,AdultFemaleAgent(Clone),11,12,1.58,1.450001,10.50354,1,True,2,1,0.5
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14200,AdultFemaleAgent(Clone),3,1,1.58,1.45,11.89917,1,True,2,1,0.5
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14201,AdultMaleAgent(Clone),12,1,1.71,1.58,17.33557,1,True,3,1,0.3333333
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14202,WheelchairAgent(Clone),1,0,1.3,1.17,0,0,False,3,0,0
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14203,AdultMaleAgent(Clone),1,0,1.71,1.58,0,0,True,3,1,0.3333333
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14204,AdultFemaleAgent(Clone),3,1,1.58,1.45,8.519531,1,False,2,0,0
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14205,AdultMaleAgent(Clone),3,1,1.71,1.58,12.40686,1,True,2,1,0.5
2026-03-05_21.27.44,68,sign-optimization-horizontal-vertical_scenario,221,76,3,1,-5,90,90,15,1,14206,WheelchairAgent(Clone),3,1,1.3,1.17,11.95386,1,False,2,1,0.5
