Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,SignOrientation,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26087,AdultMaleAgent(Clone),11,12,1.71,1.58,4.36084,2,True,2,1,0.5
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26088,AdultFemaleAgent(Clone),12,1,1.58,1.450001,0,0,False,3,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26089,WheelchairAgent(Clone),3,1,1.3,1.17,0.9260254,1,False,2,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26090,WheelchairAgent(Clone),11,12,1.3,1.17,6.737793,2,True,2,1,0.5
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26091,WheelchairAgent(Clone),1,0,1.3,1.17,0,0,False,3,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26092,AdultMaleAgent(Clone),3,1,1.71,1.58,0,0,False,2,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26093,AdultMaleAgent(Clone),11,12,1.71,1.58,7.30957,2,True,2,1,0.5
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26094,AdultMaleAgent(Clone),1,0,1.71,1.58,2.580811,1,False,3,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26095,AdultFemaleAgent(Clone),2,0,1.58,1.45,7.127441,1,False,2,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26096,WheelchairAgent(Clone),2,0,1.3,1.17,9.15625,1,False,2,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26097,WheelchairAgent(Clone),12,1,1.3,1.17,0,0,False,3,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26098,WheelchairAgent(Clone),11,12,1.3,1.17,6.361328,2,True,2,1,0.5
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26099,WheelchairAgent(Clone),3,1,1.3,1.17,0,0,False,2,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26100,AdultFemaleAgent(Clone),2,0,1.58,1.45,6.888672,1,False,2,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26101,AdultFemaleAgent(Clone),3,1,1.58,1.45,0,0,False,2,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26102,WheelchairAgent(Clone),11,12,1.3,1.17,5.970215,2,True,2,1,0.5
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26103,WheelchairAgent(Clone),11,12,1.3,1.17,3.982178,2,True,2,1,0.5
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26104,AdultMaleAgent(Clone),12,1,1.71,1.58,0,0,False,3,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26105,AdultFemaleAgent(Clone),11,12,1.58,1.450001,5.919922,2,True,2,1,0.5
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26106,AdultFemaleAgent(Clone),3,1,1.58,1.45,1.447021,1,False,2,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26107,WheelchairAgent(Clone),1,0,1.3,1.17,2.793457,1,False,3,1,0.3333333
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26108,AdultFemaleAgent(Clone),2,0,1.58,1.45,8.208008,1,False,2,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26109,AdultFemaleAgent(Clone),12,1,1.58,1.450001,0,0,False,3,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26110,AdultFemaleAgent(Clone),2,0,1.58,1.45,0,0,False,2,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26111,WheelchairAgent(Clone),3,1,1.3,1.17,2.057373,1,False,2,0,0
2026-03-05_21.30.43,127,sign-optimization-horizontal-vertical_scenario,185,38,3,-12,-1,90,90,15,1,26112,AdultMaleAgent(Clone),11,12,1.71,1.58,3.72876,2,True,2,1,0.5
