Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,SignOrientation,VcaAngle,VcaDistance,SignComprehensionTime,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-05_21.26.58,53,sign-optimization-horizontal-vertical_scenario,214,52,3,4,-6,90,90,15,1,10993,AdultMaleAgent(Clone),3,1,1.71,1.58,0,0,False,2,0,0
2026-03-05_21.26.58,53,sign-optimization-horizontal-vertical_scenario,214,52,3,4,-6,90,90,15,1,10994,WheelchairAgent(Clone),2,0,1.3,1.17,3.0271,1,False,2,0,0
2026-03-05_21.26.58,53,sign-optimization-horizontal-vertical_scenario,214,52,3,4,-6,90,90,15,1,10995,WheelchairAgent(Clone),1,0,1.3,1.17,0,0,False,3,0,0
2026-03-05_21.26.58,53,sign-optimization-horizontal-vertical_scenario,214,52,3,4,-6,90,90,15,1,10996,AdultMaleAgent(Clone),1,0,1.71,1.58,0,0,False,3,0,0
2026-03-05_21.26.58,53,sign-optimization-horizontal-vertical_scenario,214,52,3,4,-6,90,90,15,1,10997,AdultFemaleAgent(Clone),3,1,1.58,1.45,6.675659,1,False,2,0,0
2026-03-05_21.26.58,53,sign-optimization-horizontal-vertical_scenario,214,52,3,4,-6,90,90,15,1,10998,AdultMaleAgent(Clone),2,0,1.71,1.58,0,0,False,2,0,0
2026-03-05_21.26.58,53,sign-optimization-horizontal-vertical_scenario,214,52,3,4,-6,90,90,15,1,10999,WheelchairAgent(Clone),12,1,1.3,1.17,13.41577,1,True,3,1,0.3333333
2026-03-05_21.26.58,53,sign-optimization-horizontal-vertical_scenario,214,52,3,4,-6,90,90,15,1,11000,AdultMaleAgent(Clone),3,1,1.71,1.58,0,0,False,2,0,0
2026-03-05_21.26.58,53,sign-optimization-horizontal-vertical_scenario,214,52,3,4,-6,90,90,15,1,11001,AdultFemaleAgent(Clone),1,0,1.58,1.45,0,0,False,3,0,0
2026-03-05_21.26.58,53,sign-optimization-horizontal-vertical_scenario,214,52,3,4,-6,90,90,15,1,11002,AdultFemaleAgent(Clone),11,12,1.58,1.450001,7.670288,1,True,2,1,0.5
2026-03-05_21.26.58,53,sign-optimization-horizontal-vertical_scenario,214,52,3,4,-6,90,90,15,1,11003,AdultFemaleAgent(Clone),11,12,1.58,1.450001,9.623047,1,True,2,1,0.5
